City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,hami,42.8,93.45,6.04,31,29,1.71,CN,1700476421
337,korsor,55.3299,11.1386,6.1,100,100,7.03,DK,1700476423
338,toliara,-23.35,43.6667,29.92,57,24,6.19,MG,1700476424
339,rongelap,11.1635,166.8941,28.16,78,9,9.31,MH,1700476425
340,nikolayevsk-on-amure,53.1406,140.73,-6.65,86,51,2.32,RU,1700476427
341,nelson bay,-32.7167,152.15,20.56,84,100,2.68,AU,1700476430
342,saint-joseph,-21.3667,55.6167,28.39,77,16,4.39,RE,1700476431
343,dukku,10.8231,10.7717,33.3,14,72,5.26,NG,1700476433
344,makurazaki,31.2667,130.3167,14.93,58,0,2.61,JP,1700476434
345,newman,37.3138,-121.0208,11.69,51,33,5.81,US,1700476436
346,buka,40.8108,69.1986,20.63,38,0,2.02,UZ,1700476437
347,vilyuchinsk,52.9306,158.4028,3.15,74,95,8.17,RU,1700476439
348,kuanda,56.3161,116.0806,-10.67,77,76,3.31,RU,1700476338
349,thinadhoo,0.5333,72.9333,28.18,78,45,5.62,MV,1700476442
350,susuman,62.7833,148.1667,-32.02,99,76,0.15,RU,1700476443
351,flying fish cove,-10.4217,105.6791,25.81,76,34,6.57,CX,1700476445
352,verkhnevilyuysk,63.4453,120.3167,-15.69,93,100,3.68,RU,1700476446
353,melito di porto salvo,37.9222,15.7714,22.2,53,1,5.66,IT,1700476448
354,kokshetau,53.2775,69.3883,-8.82,79,0,3.0,KZ,1700476450
355,daru,-9.0763,143.2092,26.78,86,75,5.06,PG,1700476451
356,medina,24.4686,39.6142,27.24,16,0,3.6,SA,1700476453
357,sittwe,20.15,92.9,26.38,82,64,4.12,MM,1700476455
